2026-02-17 23:13:31 | INFO     | cache | Cache MISS: query:bb9dec98624358929fa51b18bec37d2f
2026-02-17 23:13:31 | INFO     | retriever | 
Retrieving for query: 'password policy' on date: 2020-01-01
2026-02-17 23:13:32 | INFO     | vector_store | Found 15 results
2026-02-17 23:13:32 | INFO     | retriever | Retrieved 15 candidates from vector store
2026-02-17 23:13:32 | INFO     | retriever | Found 0 time-valid documents
2026-02-17 23:13:32 | INFO     | cache | Cached: query:bb9dec98624358929fa51b18bec37d2f (TTL: 3600s)
2026-02-17 23:13:32 | INFO     | api | POST /api/query → 200 (56.67ms)
2026-02-17 23:13:32 | WARNING  | api | POST /api/query → 422 (1.11ms)
2026-02-17 23:13:32 | INFO     | metadata_store | Full-text search found 2 results in 4.04ms
2026-02-17 23:13:32 | INFO     | api | POST /api/search-fulltext → 200 (5.95ms)
2026-02-17 23:13:32 | INFO     | retriever | 
Date Range Retrieval: 2024-01-01 to 2024-12-31
2026-02-17 23:13:32 | INFO     | retriever | 
Retrieving for query: 'password policy' on date: 2024-06-15
2026-02-17 23:13:32 | INFO     | vector_store | Found 15 results
2026-02-17 23:13:32 | INFO     | retriever | Retrieved 15 candidates from vector store
2026-02-17 23:13:32 | INFO     | retriever | Found 2 time-valid documents
2026-02-17 23:13:32 | INFO     | retriever | Found 2 total documents across 1 periods
2026-02-17 23:13:43 | INFO     | api | POST /api/query-date-range → 200 (11366.37ms)
2026-02-17 23:13:43 | INFO     | main | 🛑 Time-Aware RAG API shutting down...
2026-02-17 23:13:43 | INFO     | metadata_store | Deleted document: 77f455d4...
2026-02-17 23:13:43 | INFO     | main | 🚀 Time-Aware RAG API starting up...
2026-02-17 23:13:43 | INFO     | main | 📦 Embedding model: sentence-transformers/all-MiniLM-L6-v2
2026-02-17 23:13:43 | INFO     | main | 🗄️ Database: connected
2026-02-17 23:13:43 | INFO     | main | 💾 Redis caching: enabled
2026-02-17 23:13:43 | INFO     | main | 🛡️ Rate limiting: 20 requests/minute
2026-02-17 23:13:43 | INFO     | main | ✅ API ready to serve requests
2026-02-17 23:13:43 | INFO     | api | GET /api/rate-limit-status → 200 (1.73ms)
2026-02-17 23:13:43 | INFO     | api | GET /api/documents → 200 (2.98ms)
2026-02-17 23:13:43 | INFO     | api | GET /health → 200 (0.45ms)
2026-02-17 23:13:43 | INFO     | api | GET /health → 200 (0.38ms)
2026-02-17 23:13:43 | INFO     | api | GET /health → 200 (0.33ms)
2026-02-17 23:13:43 | INFO     | api | GET /health → 200 (0.36ms)
2026-02-17 23:13:43 | INFO     | api | GET /health → 200 (0.26ms)
2026-02-17 23:13:43 | INFO     | api | GET /health → 200 (0.28ms)
2026-02-17 23:13:43 | INFO     | api | GET /health → 200 (0.27ms)
2026-02-17 23:13:43 | INFO     | api | GET /health → 200 (0.25ms)
2026-02-17 23:13:43 | INFO     | api | GET /health → 200 (0.26ms)
2026-02-17 23:13:43 | INFO     | api | GET /health → 200 (0.25ms)
2026-02-17 23:13:43 | INFO     | api | GET /health → 200 (0.24ms)
2026-02-17 23:13:43 | INFO     | api | GET /health → 200 (0.28ms)
2026-02-17 23:13:43 | INFO     | api | GET /health → 200 (0.26ms)
2026-02-17 23:13:43 | INFO     | api | GET /health → 200 (0.24ms)
2026-02-17 23:13:43 | INFO     | api | GET /health → 200 (0.25ms)
2026-02-17 23:13:43 | INFO     | api | GET /health → 200 (0.23ms)
2026-02-17 23:13:43 | INFO     | api | GET /health → 200 (0.68ms)
2026-02-17 23:13:43 | INFO     | api | GET /health → 200 (0.24ms)
2026-02-17 23:13:43 | INFO     | api | GET /health → 200 (0.23ms)
2026-02-17 23:13:43 | INFO     | api | GET /health → 200 (0.19ms)
2026-02-17 23:13:43 | INFO     | api | GET /health → 200 (0.16ms)
2026-02-17 23:13:43 | INFO     | api | GET /health → 200 (0.17ms)
2026-02-17 23:13:43 | INFO     | api | GET /health → 200 (0.15ms)
2026-02-17 23:13:43 | INFO     | api | GET /health → 200 (0.19ms)
2026-02-17 23:13:43 | INFO     | api | GET /health → 200 (0.19ms)
2026-02-17 23:13:43 | INFO     | main | 🛑 Time-Aware RAG API shutting down...
2026-02-17 23:13:43 | INFO     | metadata_store | Added document to PostgreSQL: 7f16dc53...
2026-02-17 23:13:43 | INFO     | vector_store | Added 1 vectors to index. Total: 24
2026-02-17 23:13:43 | INFO     | vector_store | Saved index to data/faiss_index/index.faiss
2026-02-17 23:13:43 | INFO     | retriever | Document added successfully: 7f16dc53...
2026-02-17 23:13:43 | INFO     | main | 🚀 Time-Aware RAG API starting up...
2026-02-17 23:13:43 | INFO     | main | 📦 Embedding model: sentence-transformers/all-MiniLM-L6-v2
2026-02-17 23:13:43 | INFO     | main | 🗄️ Database: connected
2026-02-17 23:13:43 | INFO     | main | 💾 Redis caching: enabled
2026-02-17 23:13:43 | INFO     | main | 🛡️ Rate limiting: 20 requests/minute
2026-02-17 23:13:43 | INFO     | main | ✅ API ready to serve requests
2026-02-17 23:13:43 | INFO     | metadata_store | Found 1 versions
2026-02-17 23:13:43 | INFO     | api | GET /api/documents/7f16dc53-fe54-48ac-9fd3-f6ccdb94f582/versions → 200 (2.73ms)
2026-02-17 23:13:43 | INFO     | metadata_store | Created version 2 of document 7f16dc53...
2026-02-17 23:13:43 | INFO     | vector_store | Added 1 vectors to index. Total: 25
2026-02-17 23:13:43 | INFO     | vector_store | Saved index to data/faiss_index/index.faiss
2026-02-17 23:13:43 | INFO     | api | POST /api/documents/7f16dc53-fe54-48ac-9fd3-f6ccdb94f582/new-version → 200 (43.01ms)
2026-02-17 23:13:43 | INFO     | metadata_store | Found 2 versions
2026-02-17 23:13:43 | INFO     | api | GET /api/documents/7f16dc53-fe54-48ac-9fd3-f6ccdb94f582/versions → 200 (1.74ms)
2026-02-17 23:13:43 | INFO     | api | GET /api/documents/7f16dc53-fe54-48ac-9fd3-f6ccdb94f582/latest → 200 (1.64ms)
2026-02-17 23:13:43 | WARNING  | api | GET /api/documents/00000000-0000-0000-0000-000000000000/versions → 404 (1.36ms)
2026-02-17 23:13:43 | INFO     | main | 🛑 Time-Aware RAG API shutting down...
2026-02-17 23:13:43 | INFO     | metadata_store | Deleted document: 7f16dc53...
